"Fuel.Type.Code","Latitude","Longitude"
"ELEC",44.4627697,-73.1797814
"ELEC",38.94522476,-76.73584747
"ELEC",46.760416,-92.13152
"ELEC",38.59663391,-121.3641434
"ELEC",42.068379,-90.67874
"ELEC",37.4009562,-122.0121754
"ELEC",43.206662,-87.97191
"ELEC",44.297129,-88.27101
"ELEC",33.8652873,-118.2589841
"ELEC",33.8652873,-118.2589841
"ELEC",42.597887,-114.455249
"ELEC",41.891805,-91.67398
"ELEC",42.35654,-71.169088
"ELEC",41.31654358,-74.12580872
"ELEC",46.433276,-92.755487
"ELEC",33.8652873,-118.2589841
"ELEC",42.24443817,-83.7388382
"ELEC",41.509059,-87.848268
"ELEC",38.2364269,-122.0937401
"ELEC",30.684423,-88.0740409
"ELEC",44.255128,-72.57372
"ELEC",38.783081,-77.014614
"ELEC",38.59663391,-121.3641434
"ELEC",43.1461895,-72.84018
"ELEC",38.2587723,-122.0694702
"ELEC",44.950879,-92.90499
"ELEC",35.5291306,-82.603449
"ELEC",42.4046157,-71.0697944
"ELEC",38.58431244,-121.4956055
"ELEC",38.58085,-121.4953
"ELEC",34.2491037,-118.3875613
"ELEC",34.0504479,-118.4466778
"ELEC",34.0532105,-118.0817627
"ELEC",34.0401988,-118.2695539
"ELEC",34.002107,-117.8290451
"ELEC",34.057593,-118.248854
"ELEC",34.1022448,-118.3347468
"ELEC",34.047834,-118.261897
"ELEC",34.102163,-117.822149
"ELEC",33.7591913,-118.0085681
"ELEC",38.57596,-121.495
"ELEC",38.4380517,-122.711357
"ELEC",33.7705833,-118.2656449
"ELEC",34.3108852,-118.4874
"ELEC",33.947829,-118.0749531
"ELEC",38.5748101,-121.4958749
"ELEC",34.066854,-118.2274711
"ELEC",34.036482,-118.3694
"ELEC",34.0506814,-118.236336
"ELEC",34.06872,-118.064
"ELEC",34.0400573,-118.2356845
"ELEC",34.0630077,-117.7239787
"ELEC",37.4145617,-122.1462887
"ELEC",38.57596,-121.495
"ELEC",32.89947,-117.243
"ELEC",32.770182,-117.148134
"ELEC",34.0150669,-118.4936476
"ELEC",33.0963683,-117.0021843
"ELEC",34.221913,-118.468523
"ELEC",33.889948,-117.517297
"ELEC",33.91115,-117.4591
"ELEC",34.073878,-117.43098
"ELEC",34.064535,-117.223142
"ELEC",34.147196,-118.147294
"ELEC",34.1449545,-118.1522347
"ELEC",34.1446949,-118.1499088
"ELEC",34.143124,-118.140308
"ELEC",34.1183488,-118.1500456
"ELEC",33.8001717,-117.918316
"ELEC",33.65315,-117.9938
"ELEC",32.870925,-117.225644
"ELEC",33.7637,-118.192
"ELEC",33.7674107,-118.1993371
"ELEC",34.0604643,-118.4186743
"ELEC",33.946207,-118.3816
"ELEC",33.9446599,-118.3982273
"ELEC",33.6158612,-117.8711879
"ELEC",34.2391367,-118.5536313
"ELEC",34.07122,-117.575
"ELEC",34.22935,-119.173
"ELEC",33.823353,-116.5436
"ELEC",37.7000263,-121.8760726
"ELEC",33.9775683,-117.3750517
"ELEC",34.0189,-117.38
"ELEC",38.69005,-121.58889
"ELEC",34.020478,-118.4487573
"ELEC",33.9986803,-118.4797343
"ELEC",34.156143,-118.432204
"ELEC",33.49605,-117.152
"ELEC",34.1406014,-118.3518
"ELEC",34.2097895,-118.4486101
"ELEC",34.062928,-118.350951
"ELEC",33.9484681,-118.1571511
"ELEC",33.03708,-117.284
"ELEC",32.70597,-117.162
"ELEC",34.6985964,-118.1447125
"ELEC",34.6967918,-118.1366666
"ELEC",37.80619,-122.4152
"ELEC",38.6014025,-121.4277649
"ELEC",38.5517974,-121.4306558
"ELEC",37.784912,-122.430237
"ELEC",37.7843613,-122.3996365
"ELEC",37.7920393,-122.4043372
"ELEC",37.78988,-122.407
"ELEC",37.78881,-122.401
"ELEC",37.791405,-122.410248
"ELEC",34.170993,-118.589741
"ELEC",37.780369,-122.417824
"ELEC",37.7865487,-122.4071729
"ELEC",34.07631,-118.377
"ELEC",34.0700473,-118.3767587
"ELEC",34.0577972,-118.2477379
"ELEC",34.174104,-118.498753
"ELEC",34.097928,-118.331
"ELEC",34.098146,-118.295405
"ELEC",34.248959,-118.523887
"ELEC",34.241687,-118.528543
"ELEC",34.236853,-118.532588
"ELEC",34.2297918,-118.5448443
"ELEC",33.7404816,-118.2816326
"ELEC",33.9610886,-118.2917688
"ELEC",34.0234615,-118.2878389
"ELEC",34.2917388,-118.4482914
"ELEC",34.0783652,-118.4750027
