"Year","State","Number_of_Stations","Total_EV"
2016,"Alabama",7,1400
2016,"Arizona",38,9100
2016,"Arkansas",4,700
2016,"California",304,258200
2016,"Colorado",51,9100
2016,"Connecticut",70,4800
2016,"Delaware",2,1000
2016,"District of Columbia",16,1100
2016,"Florida",104,21700
2016,"Georgia",70,22000
2016,"Hawaii",11,5400
2016,"Idaho",15,1000
2016,"Illinois",43,11800
2016,"Indiana",16,3700
2016,"Iowa",11,1600
2016,"Kansas",34,1600
2016,"Kentucky",10,1400
2016,"Louisiana",13,900
2016,"Maine",37,1300
2016,"Maryland",77,8200
2016,"Massachusetts",30,8800
2016,"Michigan",34,13200
2016,"Minnesota",20,4000
2016,"Mississippi",8,300
2016,"Missouri",48,3500
2016,"Montana",9,400
2016,"Nebraska",15,900
2016,"Nevada",14,3400
2016,"New Hampshire",17,1400
2016,"New Jersey",26,9700
2016,"New Mexico",8,1100
2016,"New York",134,18200
2016,"North Carolina",44,6500
2016,"Ohio",44,7000
2016,"Oklahoma",4,1300
2016,"Oregon",78,12000
2016,"Pennsylvania",45,8600
2016,"Rhode Island",3,900
2016,"South Carolina",9,2000
2016,"Tennessee",40,4300
2016,"Texas",98,19900
2016,"Utah",4,4200
2016,"Vermont",31,1500
2016,"Virginia",80,7300
2016,"Washington",73,21300
2016,"West Virginia",3,400
2016,"Wisconsin",17,5200
2016,"Wyoming",6,200
2017,"Alabama",28,1900
2017,"Alaska",4,700
2017,"Arizona",33,13000
2017,"Arkansas",18,900
2017,"California",294,349300
2017,"Colorado",87,13200
2017,"Connecticut",21,6900
2017,"Delaware",16,1300
2017,"District of Columbia",21,1500
2017,"Florida",181,29300
2017,"Georgia",79,19600
2017,"Hawaii",19,7100
2017,"Idaho",13,1500
2017,"Illinois",58,16000
2017,"Indiana",21,5100
2017,"Iowa",13,2100
2017,"Kansas",25,2300
2017,"Kentucky",20,1900
2017,"Louisiana",21,1300
2017,"Maine",18,1800
2017,"Maryland",74,10900
2017,"Massachusetts",22,13500
2017,"Michigan",32,14500
2017,"Minnesota",37,5400
2017,"Mississippi",16,500
2017,"Missouri",107,5400
2017,"Montana",4,600
2017,"Nebraska",8,1300
2017,"Nevada",25,5100
2017,"New Hampshire",3,2100
2017,"New Jersey",32,15000
2017,"New Mexico",9,1700
2017,"New York",136,26500
2017,"North Carolina",79,9200
2017,"North Dakota",2,300
2017,"Ohio",51,9300
2017,"Oklahoma",18,2100
2017,"Oregon",47,16000
2017,"Pennsylvania",35,11900
2017,"Rhode Island",3,1200
2017,"South Carolina",27,2800
2017,"South Dakota",3,300
2017,"Tennessee",32,5000
2017,"Texas",102,27000
2017,"Utah",17,6100
2017,"Vermont",19,2300
2017,"Virginia",73,11200
2017,"Washington",90,30800
2017,"West Virginia",36,500
2017,"Wisconsin",17,6300
2017,"Wyoming",13,200
2018,"Alabama",15,2800
2018,"Alaska",7,800
2018,"Arizona",48,20300
2018,"Arkansas",13,1400
2018,"California",485,488500
2018,"Colorado",105,19900
2018,"Connecticut",30,10200
2018,"Delaware",4,2000
2018,"District of Columbia",28,2100
2018,"Florida",193,44800
2018,"Georgia",116,22900
2018,"Hawaii",7,9000
2018,"Idaho",5,2200
2018,"Illinois",70,23500
2018,"Indiana",39,7500
2018,"Iowa",16,3100
2018,"Kansas",11,3500
2018,"Kentucky",15,2700
2018,"Louisiana",14,1800
2018,"Maine",23,2600
2018,"Maryland",120,16800
2018,"Massachusetts",76,21900
2018,"Michigan",58,16500
2018,"Minnesota",50,9700
2018,"Mississippi",8,800
2018,"Missouri",32,7700
2018,"Montana",12,900
2018,"Nebraska",7,1900
2018,"Nevada",23,8000
2018,"New Hampshire",20,3200
2018,"New Jersey",46,24200
2018,"New Mexico",8,2600
2018,"New York",169,39800
2018,"North Carolina",71,13800
2018,"North Dakota",9,300
2018,"Ohio",56,13600
2018,"Oklahoma",16,5000
2018,"Oregon",74,22200
2018,"Pennsylvania",62,17500
2018,"Rhode Island",33,1900
2018,"South Carolina",29,4200
2018,"South Dakota",8,500
2018,"Tennessee",32,6800
2018,"Texas",195,39200
2018,"Utah",66,9000
2018,"Vermont",36,3100
2018,"Virginia",100,18000
2018,"Washington",108,43900
2018,"West Virginia",5,700
2018,"Wisconsin",21,8200
2018,"Wyoming",9,400
2019,"Alabama",18,3800
2019,"Alaska",4,1100
2019,"Arizona",74,29100
2019,"Arkansas",18,1900
2019,"California",555,597000
2019,"Colorado",123,28500
2019,"Connecticut",53,12600
2019,"Delaware",5,2600
2019,"District of Columbia",39,3100
2019,"Florida",216,60700
2019,"Georgia",91,27400
2019,"Hawaii",25,11700
2019,"Idaho",14,3100
2019,"Illinois",90,30900
2019,"Indiana",29,9800
2019,"Iowa",23,4000
